bidder_id,bids,auction_unique,merchandise_unique,device_unique,time_unique,country_unique,ip_unique,url_unique,bids_mean_auction_unique,bids_mean_merchandise_unique,bids_mean_device_unique,bids_mean_time_unique,bids_mean_country_unique,bids_mean_ip_unique,bids_mean_url_unique,num_auctions_won,first_bid,time_diff_prev_bid,time_diff_user_bids,y
001068c415025a009fee375a12cff4fcnht8y,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3842105263.0,0.0,0.0
0030a2dd87ad2733e0873062e4f83954mkj86,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,736842106.0,0.0,0.0
00a0517965f18610417ee784a05f494d4dw6e,141,74,1,67,141,16,103,84,0.524822695035461,0.0070921985815602835,0.475177304964539,1.0,0.11347517730496454,0.7304964539007093,0.5957446808510638,0.0,0.0,11136134254.547455,2903084400189.644,0.0
00cc97158e6f4cb8eac3c0075918b7ffi5k8o,3,3,1,3,3,2,3,1,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,210526316.0,0.0,0.0
01067975436d123f717ee5aba0dd4bbfa0937,543,17,1,165,543,71,398,4,0.03130755064456722,0.001841620626151013,0.30386740331491713,1.0,0.13075506445672191,0.7329650092081031,0.007366482504604052,0.058823529411764705,0.0,92085647376.51045,496547663105.3372,0.0
012441119bcf83b23d4768bb72cea6d6carua,23,19,1,16,23,10,19,3,0.8260869565217391,0.043478260869565216,0.6956521739130435,1.0,0.43478260869565216,0.8260869565217391,0.13043478260869565,0.0,0.0,3481994459.8026314,69068328716.52632,0.0
01255c2c7c5578c186873422fc00fd7afwk8k,65,13,1,34,65,5,55,29,0.2,0.015384615384615385,0.5230769230769231,1.0,0.07692307692307693,0.8461538461538461,0.4461538461538462,0.0,0.0,14033316464.243591,992503574812.6613,0.0
01349288df20199905e719f0ff7ee771nwryj,70,31,1,28,70,4,49,23,0.44285714285714284,0.014285714285714285,0.4,1.0,0.05714285714285714,0.7,0.32857142857142857,0.0,0.0,10718779475.687275,506974985851.6839,0.0
0141844fc725a85e38e12cc02fcdbbe8ofqxv,18,14,1,13,18,6,16,2,0.7777777777777778,0.05555555555555555,0.7222222222222222,1.0,0.3333333333333333,0.8888888888888888,0.1111111111111111,0.0,0.0,3152255639.178571,209907268170.45236,0.0
0181b91f58e6cbaa832235e2879c9c00ovrzi,15,9,1,7,15,3,14,9,0.6,0.06666666666666667,0.4666666666666667,1.0,0.2,0.9333333333333333,0.6,0.0,0.0,1857699804.9074073,1585637426900.611,0.0
01a39439e7afbdcfe385eedbddb23d76zgdrg,260,131,1,94,260,26,216,49,0.5038461538461538,0.0038461538461538464,0.36153846153846153,1.0,0.1,0.8307692307692308,0.18846153846153846,0.0,0.0,38107119377.23035,6005531563163.618,0.0
01c1c7be49cd6cfbb9075925a05c9899p41va,2,2,1,2,2,2,2,1,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.0,14394736842.0,0.0,0.0
01c5692d487454cdbe731df330bef608f48zz,82,19,1,41,82,5,44,28,0.23170731707317074,0.012195121951219513,0.5,1.0,0.06097560975609756,0.5365853658536586,0.34146341463414637,0.0,0.0,921104634.0157124,5057194624212.352,0.0
01cda526658455000913950f20cf31a2q6nsf,84,22,1,45,84,6,57,33,0.2619047619047619,0.011904761904761904,0.5357142857142857,1.0,0.07142857142857142,0.6785714285714286,0.39285714285714285,0.4090909090909091,0.36363636363636365,995530445431.7772,1269144679881.5686,0.0
01eb9dcbd0b3e79d94020d13d83a993ec9d2a,3,2,1,3,3,2,3,2,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,12144736841.75,1345868421052.5,0.0
01f498a0992d280de63ec346692efb2blckg2,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4842105263.0,0.0,0.0
02030ec48b7179a7fd9950fdf546e3feekkye,5,2,1,2,5,1,4,4,0.4,0.2,0.4,1.0,0.2,0.8,0.8,0.0,0.0,3657894737.125,31850877193.0,0.0
022ac3a7ce986049d9a4bede83ccf9ddctvg6,1899,85,1,18,1574,7,32,2,0.04476040021063718,0.000526592943654555,0.009478672985781991,0.8288572933122696,0.003686150605581885,0.01685097419694576,0.00105318588730911,0.047058823529411764,0.011764705882352941,915069785726.9164,280331032633.7438,1.0
024937af9ea18a2b57e4f08762d181f7s8a3z,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,52631579.0,0.0,0.0
024cf43497fd7381df6254888670f84bwbbam,3,2,1,3,3,2,3,1,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,1644736842.25,99500000000.0,0.0
